field
accepted_date
article_type
author
author_affiliate
author_notes
body
competing_interest
conclusions
counter_total_all
counter_total_month
doc_type
editor
everything
figure_table_caption
financial_disclosure
introduction
journal
materials_and_methods
pagecount
publication_date
received_date
reference
results_and_discussion
subject
subject_facet
subject_hierarchy
subject_level_1
subject2
subject2_facet
subject2_hierarchy
subject2_level_1
supporting_information
title
